Id,price,name,neighborhood_overview,host_id,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
TINDD,58.0,Home in San Bruno · ★4.89 · 1 bedroom · 1 bed · 1.5 shared baths,Tanfran Mall<br />San Bruno Shopping Town Center<br />Target<br /><br />Barnes and Noble<br />Lucky's supermarket<br />Costco<br /><br />McDonalds<br />Dollar Tree<br />In and Out<br /><br />Highway 101/280<br />SFO international airport,408622026,2021-06-22,"San Bruno, CA","
This is my first time hosting this location. I have hosted other homes before and took a long break during covid. We get lots of guests traveling for work and also for fun. Feel free ask me if have any other questions. 

Thank you. Safe travels!",within an hour,100%,99%,t,6.0,"['email', 'phone']",t,f,San Bruno,37.63026,-122.41621,Private room in home,Private room,2,1.5 shared baths,,1.0,[],1,28,1,1,28,28,1.0,28.0,t,30,60,90,180,74,34,0,2022-04-16,2023-11-10,4.89,4.88,4.91,4.89,4.92,4.73,4.74,t
5MYGM,262.0,Condo in Watsonville · ★4.90 · 2 bedrooms · 4 beds · 2 baths,,29898175,2015-03-23,"Watsonville, CA",My name is Brandelia Banuelos. I am co-owner of a local rental agency. The rental agency manages 34 property for various Pajaro Dunes Owners. We happily partner with Airbnb.,within an hour,100%,99%,f,31.0,"['email', 'phone', 'work_email']",t,t,Unincorporated Areas,36.87358,-121.8235,Entire condo,Entire home/apt,6,2 baths,,4.0,[],1,365,1,4,365,365,2.1,365.0,t,24,54,84,347,49,13,0,2020-11-01,2023-11-14,4.9,4.98,4.84,4.96,4.96,4.96,4.61,t
JVM9B,48.0,Home in Oakland · ★5.0 · 2 bedrooms · 1 bed · 1 bath,Clinton neighborhood in the East Lake. Close to Lake Merritt and centrally located. Very close to 580 will take you everywhere in the Bay.,591750,2011-05-15,"Oakland, CA","Hi! I live in Oakland with my 10 yr old son. *He's the best* and our old cat Sam. We love to surf, cook, travel & hang out with other folks in our sweet neighborhood community just down the street from Xochi the Dog Cafe. We've had 2 amazing au pairs in the past live with us but now my son is older I don't need full time help. We enjoyed having the experience of living with and hosting these women we decided to keep it going and host others.",within an hour,100%,100%,f,1.0,"['email', 'phone']",t,t,Clinton,37.79447802127355,-122.24216326376416,Private room in home,Private room,2,1 bath,,1.0,[],5,90,5,5,90,90,5.0,90.0,t,28,58,88,88,5,5,2,2023-09-01,2023-12-15,5.0,5.0,5.0,5.0,4.8,4.4,4.8,f
KPYFO,49.0,Home in Santa Clara · ★4.10 · 1 bedroom · 1 bed · 0 shared baths,,142933064,2017-07-28,"Santa Clara, CA","Ginger Rogers is a San Jose State University alum and graduated with a degree in accounting. She is a successful real estate agent as well as investor and owns multiple properties in the South Bay of the Bay Area. Being born and raised in Santa Clara, she knows the area as well as the market like her own backyard. In her free time she likes to take hikes and walk and play with her 3rd son, a German Shepherd named Dexter.

Her 2nd son, Joey Rogers, currently has an AA in Business Administration from De Anza Community College where he played baseball at. Over the past couple years, he has successfully been self employed, coming up with various legal ways to make money. Also being born and raised in the South Bay, Joey is very knowledgeable about the surrounding night life. Currently he coaches baseball, trains people and volunteers at his old school/church by coaching 7th and 8th grade girls basketball. In his free time he likes to work out and play video games.",within an hour,100%,100%,f,21.0,['phone'],t,t,Santa Clara,37.34186,-121.96024,Private room in home,Private room,2,0 shared baths,,1.0,[],1,1125,1,1,1125,1125,1.0,1125.0,t,30,60,90,365,10,2,0,2021-05-29,2023-10-14,4.1,4.2,3.9,4.4,4.3,4.5,4.0,t
IUYWO,214.0,Home in Capitola · 3 bedrooms · 4 beds · 2.5 shared baths,,215538813,2018-09-15,"Half Moon Bay, CA",,,,,f,1.0,"['email', 'phone']",t,t,City of Capitola,36.9805,-121.94061,Private room in home,Private room,2,2.5 shared baths,,4.0,[],2,5,2,3,5,5,2.1,5.0,t,24,54,83,83,0,0,0,,,,,,,,,,f
EJSPK,270.0,Home in San Francisco · ★4.97 · 2 bedrooms · 4 beds · 2 baths,"A very quiet neighborhood only 2 blocks around the corner from the beach.  On a sunny day it transforms to a bustling, beach picnic and surfing holiday atmosphere with at least eight cafes and restaurants within five blocks walking distance. Most evenings finds a quiet group of sunset gazers standing on the dunes to watch the spectacular sunsetting over the Pacific Ocean.",2198311,2012-04-22,"San Francisco, CA","Hello,  I was born just a few blocks away in the Sunset district of San Francisco.  I have always loved San Francisco and enjoy hosting at my little Ocean Beach house.    I love building and crafting of all kinds, repurposing old stuff, carpentry, sewing, knitting, beading, anything to be creative.  I love the city public transportation which is available just a few houses away, and spend my spare days enjoying the nearby beach,  attending events all over the city and exploring the many interesting neighborhoods.  I am always available by cell phone or text and ready to assist you at any time.",,,95%,t,1.0,"['email', 'phone']",t,t,Outer Sunset,37.7587,-122.5088,Entire home,Entire home/apt,5,2 baths,,4.0,"[""Dining table"", ""Coffee"", ""Hot water kettle"", ""48\"" HDTV with HBO Max, standard cable, premium cable"", ""Hair dryer"", ""Dishwasher"", ""Laundromat nearby"", ""Smoke alarm"", ""Sun loungers"", ""Fast wifi \u2013 617 Mbps"", ""Microwave"", ""Toaster"", ""Blender"", ""Luggage dropoff allowed"", ""Coffee maker: drip coffee maker, french press"", ""Beach essentials"", ""Free street parking"", ""Fire extinguisher"", ""Private entrance"", ""Central heating"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Board games"", ""Iron"", ""Public or shared beach access"", ""Extra pillows and blankets"", ""Hangers"", ""Dove body soap"", ""Freezer"", ""Kitchen"", ""Hot water"", ""Dedicated workspace"", ""Books and reading material"", ""First aid kit"", ""Conditioner"", ""Outlet covers"", ""Cleaning products"", ""Refrigerator"", ""Portable fans"", ""Essentials"", ""Window guards"", ""Shampoo"", ""Dishes and silverware"", ""Clothing storage: closet and dresser"", ""Host greets you"", ""Free residential garage on premises"", ""Stainless steel oven"", ""Children\u2019s books and toys"", ""Bed linens"", ""Samsung stainless steel gas stove"", ""Pack \u2019n play/Travel crib - available upon request""]",4,16,4,4,16,16,4.0,16.0,t,17,17,17,88,154,15,1,2012-05-22,2023-11-24,4.97,4.98,4.96,4.99,4.99,4.82,4.89,f
RABQT,296.0,Home in San Francisco · ★4.91 · 2 bedrooms · 2 beds · 1 bath,Twin Peaks -- Midtown Terrace,196142120,2018-06-17,"San Francisco, CA",,,,96%,t,1.0,"['email', 'phone']",t,t,Twin Peaks,37.74787,-122.44669,Entire home,Entire home/apt,4,1 bath,,2.0,"[""Dining table"", ""Security cameras on property"", ""Coffee"", ""Hot water kettle"", ""Hair dryer"", ""Dishwasher"", ""Smoke alarm"", ""Outdoor dining area"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Fire extinguisher"", ""Private entrance"", ""Central heating"", ""City skyline view"", ""Free washer \u2013 In unit"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Iron"", ""Extra pillows and blankets"", ""Hangers"", ""Wifi"", ""Freezer"", ""50\"" HDTV with Netflix, DVD player"", ""Bay view"", ""Bidet"", ""Kitchen"", ""Jenn-Air refrigerator"", ""Hot water"", ""Dedicated workspace"", ""First aid kit"", ""Shower gel"", ""Coffee maker: drip coffee maker"", ""Body soap"", ""Bathtub"", ""Essentials"", ""Outdoor furniture"", ""Self check-in"", ""Smart lock"", ""Shampoo"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Portable air conditioning"", ""Bed linens"", ""Jenn-Air stainless steel oven"", ""Microwave"", ""Jenn-Air stainless steel gas stove""]",3,29,3,3,29,29,3.0,29.0,f,0,0,0,0,46,14,0,2018-07-01,2023-09-04,4.91,4.98,4.87,4.96,4.91,4.78,4.67,f
DFUBN,172.0,Guesthouse in San Carlos · ★5.0 · 1 bedroom · 2 beds · 1 bath,"White Oaks is a charming neighborhood in San Carlos. Quiet, peaceful, and safe just a few blocks from fabulous cafes and restaurants.",20881459,2014-09-03,"San Carlos, CA","I'm an elementary school teacher and my husband is a news photographer. We love to travel near and far with our two kids! San Carlos has been home for twelve years and we absolutely love biking around town, hiking, and taking advantage of the gorgeous weather.",within an hour,100%,100%,f,1.0,"['email', 'phone']",t,t,San Carlos,37.48764,-122.25245,Entire guesthouse,Entire home/apt,2,1 bath,,2.0,[],3,1125,3,3,1125,1125,3.0,1125.0,t,5,5,5,167,10,5,1,2022-07-30,2023-11-28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
JCKPG,225.0,Townhouse in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 2 baths,"My flat is located in the leafy enclave of Glen Park--a 6 minute walk from BART, and a very short Lyft ride to the Mission, Noe Valley and Bernal Heights. Glen Park village is home to a boutique grocery store (Canyon Market), SF Chronicle's best pizza in SF (Gialina), and an impossibly romantic French restaurant (P'tit Laurent). This is a lovely, quiet, residential neighborhood close to every place you want to be in SF.",12878539,2014-03-06,"San Francisco, CA","I am a novelist and a freelance travel writer. Originally from the East Coast, I head back to my home town of NYC fairly often to meet with my agent and dip into the NY publishing scene. I've also lived in SF for the past 30 years--raised my son here--so can tell you pretty much everything you need to know about one of my favorite cities! I often write at home, so the way my space looks, feels--its general ambiance--is very important to me. ",,,100%,f,1.0,"['email', 'phone']",t,t,Glen Park,37.73595,-122.43006,Entire townhouse,Entire home/apt,4,2 baths,,2.0,"[""Hair dryer"", ""Dishwasher"", ""Smoke alarm"", ""Oven"", ""Luggage dropoff allowed"", ""Free street parking"", ""Fire extinguisher"", ""Patio or balcony"", ""Coffee maker"", ""Private entrance"", ""Dryer"", ""Washer"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Iron"", ""Extra pillows and blankets"", ""Hangers"", ""Wifi"", ""Heating"", ""Kitchen"", ""Hot water"", ""Refrigerator"", ""Essentials"", ""Stove"", ""Self check-in"", ""Smart lock"", ""Backyard"", ""Shampoo"", ""Dishes and silverware"", ""Bed linens"", ""Microwave"", ""TV with standard cable""]",4,14,4,4,1125,1125,4.0,1125.0,f,0,0,0,0,29,0,0,2017-09-11,2022-10-21,5.0,4.97,4.93,5.0,5.0,4.83,4.86,f
5C2LD,189.0,Rental unit in San Francisco · ★4.60 · 2 bedrooms · 3 beds · 1 bath,,511082576,2023-04-21,,,within a few hours,100%,46%,f,1.0,"['email', 'phone']",f,t,Mission,37.75144209246037,-122.41798373011017,Entire rental unit,Entire home/apt,5,1 bath,,3.0,"[""Hair dryer"", ""TV"", ""Lockbox"", ""Radiant heating"", ""Washer"", ""Cooking basics"", ""Iron"", ""Extra pillows and blankets"", ""Hangers"", ""Wifi"", ""Bidet"", ""Kitchen"", ""Hot water"", ""Dedicated workspace"", ""Conditioner"", ""Cleaning products"", ""Shower gel"", ""Coffee maker: drip coffee maker"", ""Body soap"", ""Bathtub"", ""Essentials"", ""Self check-in"", ""Shampoo"", ""Dishes and silverware"", ""Dryer \u2013\u00a0In unit"", ""Bed linens""]",7,1125,4,7,1125,1125,7.0,1125.0,t,7,7,7,28,5,5,1,2023-08-17,2023-11-18,4.6,4.0,5.0,5.0,5.0,4.8,4.8,f
PWPRM,85.0,Home in San Francisco · ★4.29 · 1 bedroom · 1 bed · 1 private bath,"Convenient to downtown SF or SFO. Hewett’s home is located in Crocker-Amazon, the house is on a safe and quiet street right off a block from Mission Street. Within walking distance to restaurants, banks, business, bus lines and Balboa Park BART station.<br /><br />By car: (without traffic)<br />SFO airport: 18 min<br />SF Downtown: 15 min<br />Union Square: 23 min<br />Golden Gate Bridge: 25 min<br />Fisherman’s Wharf: 32 min<br />Twin Peaks: 19 min<br />Cow Palace: 6 min",159540074,2017-11-21,"Foster City, CA",,within an hour,100%,100%,f,5.0,"['email', 'phone']",t,f,Crocker Amazon,37.71143,-122.44436,Private room in home,Private room,2,1 private bath,,1.0,"[""Essentials"", ""Heating"", ""Hangers"", ""Shampoo"", ""Long term stays allowed"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Iron"", ""Smoke alarm"", ""Bed linens"", ""Wifi"", ""Luggage dropoff allowed""]",30,1125,30,30,1125,1125,30.0,1125.0,t,30,60,90,365,7,1,0,2018-07-01,2023-06-19,4.29,4.29,4.0,4.86,4.43,4.71,4.29,f
X755Z,375.0,Home in Santa Cruz · ★4.83 · 3 bedrooms · 3 beds · 2 baths,"This classic craftsman bungalow sits just two blocks from the entrance to Seabright Beach, the best beach in Santa Cruz. In a neighborhood laid out in the 1880s, this early 1900s home marks the transition from beach shack to beach house. <br />You can leave your car in the driveway and walk to the beach, Boardwalk, Yacht Harbor or any the neighborhood shops including Betty's Burgers (grass fed), Linda Seabreeze Cafe (great breakfast), Seabright Brewery (pints of local brew),  Brady's Yacht Club (great dive bar), Java Junction (free WiFi), Verve Cafe (beans roasted onsite), La Posta Restaurant, Tramonti (Italian style pizza) and others. <br /><br />Please note: The City of Santa Cruz charges an 11% occupancy tax of all stays. This tax is not included in our rates and will be charged to guest as a separate supplementary amount thru Airbnb.",7611557,2013-07-20,,,,,100%,f,1.0,['phone'],t,f,City of Santa Cruz,36.9659,-122.00963,Entire home,Entire home/apt,6,2 baths,,3.0,[],5,21,5,5,21,21,5.0,21.0,t,13,43,73,73,46,3,0,2016-05-30,2023-08-12,4.83,4.89,4.85,4.93,4.91,5.0,4.47,f
0DDLB,92.0,Bungalow in San Jose · ★4.72 · Studio · 1 bed · 1 bath,,3793149,2012-10-07,"San Jose, CA","Besides our busy working schedule, We love to travel and explore new places, active outdoor activities, healthy cuisine cooking, and provide safe and 
hospitable accommodations to others.",within an hour,100%,99%,f,10.0,"['email', 'phone', 'work_email']",t,t,San Jose,37.30641,-121.82191,Entire bungalow,Entire home/apt,2,1 bath,,1.0,[],2,60,3,3,1125,1125,3.0,1125.0,t,0,0,0,266,32,10,0,2019-10-31,2023-08-13,4.72,4.91,4.78,4.88,4.84,4.75,4.78,t
PSPEW,261.0,Home in Santa Cruz · ★4.75 · 2 bedrooms · 2 beds · 1 bath,,466978232,2022-06-30,,,within an hour,100%,93%,f,1.0,"['email', 'phone']",t,t,City of Santa Cruz,36.9668,-122.01028,Entire home,Entire home/apt,3,1 bath,,2.0,[],31,365,31,31,1125,1125,31.0,1125.0,t,14,14,27,115,8,8,0,2023-08-13,2023-11-25,4.75,5.0,5.0,5.0,5.0,5.0,4.75,t
GCVJW,295.0,Home in San Francisco · ★4.93 · 1 bedroom · 1 bed · 1 bath,"Quintessential San Francisco neighborhood in the sunniest block in town ( even when thhe fog starts rolling in, we are the last hit). 2 blocks away from cable car museum, chinatown, North beach. At the junction of both cable car lines. Close to union square, fisherman's wharf and Lombard street. <br /><br />At the end of your stay, there will be no doubt that you saw the best of what San Francisco had to offer. Bring your walking shoes!",136792470,2017-06-24,"San Francisco, CA","Moving to SF was one of life's happy accidents.  I love opening my door to other travelers from the 4 corners of the world. Architect, designer and transportation specialist,   If you can't find me at my desk, I am probably out paddle boarding, on my yoga mat, or in a plane.  I am a registered host with the City of San Francisco Short Term Rental Office . Registration number STR-0002229",within a day,100%,84%,t,2.0,"['email', 'phone', 'work_email']",t,t,Chinatown,37.79662,-122.4091,Entire home,Entire home/apt,2,1 bath,,1.0,"[""Induction stove"", ""Shared patio or balcony"", ""Hair dryer"", ""Dishwasher"", ""Smoke alarm"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Free street parking"", ""Pets allowed"", ""Fire extinguisher"", ""Coffee maker"", ""Private entrance"", ""Dryer"", ""City skyline view"", ""Washer"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Iron"", ""Single level home"", ""Hangers"", ""Wifi"", ""HDTV with standard cable, Netflix, Roku, HBO Max"", ""Heating"", ""Bay view"", ""BBQ grill"", ""Kitchen"", ""Hot water"", ""First aid kit"", ""Refrigerator"", ""Bathtub"", ""Essentials"", ""Outdoor furniture"", ""Shampoo"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Microwave""]",1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,81,112,10,0,2017-11-09,2023-08-18,4.93,4.99,4.9,5.0,5.0,4.96,4.79,f
